0	0 0 0 0 0.650864 0.759194 1 1 0.25 0 0.145324 -0.989384 
0.2	0 0 -0.132327 0 0.545729 0.837962 1 1 0.382327 0 0.0143757 -0.999897 
0.4	0 0 -0.133842 0 0.464091 0.885788 1 1 0.383842 0 -0.0801883 -0.99678 
0.6	0 0 -0.133619 0 0.405055 0.914292 1 1 0.383619 0 -0.145326 -0.989384 
0.8	0 0 -0.133513 0 0.363912 0.931433 1 1 0.383513 0 -0.189269 -0.981925 
1	0 0 -0.133923 0 0.335775 0.941942 1 1 0.383923 0 -0.218673 -0.975798 
1.2	0 0 -0.133214 0 0.316719 0.94852 1 1 0.383214 0 -0.238299 -0.971192 
1.4	0 0 -0.132854 0 0.303879 0.952711 1 1 0.382854 0 -0.251394 -0.967885 
1.6	0 0 -0.132693 0 0.295253 0.955419 1 1 0.382693 0 -0.260135 -0.965572 
1.8	0 0 -0.13262 0 0.289467 0.957188 1 1 0.38262 0 -0.265972 -0.963981 
2	0 0 -0.132588 0 0.28559 0.958352 1 1 0.382588 0 -0.269872 -0.962896 
